,City,Country,Temperature,Latitude,Longitude,Humidity,Cloudiness,Wind Speed
0,Mataura,NZ,58.83,-46.19,168.86,70,0,21.5
1,Jijiga,ET,51.85,9.35,42.8,96,8,1.7
2,Shumskiy,RU,12.03,54.83,99.13,40,48,8.19
3,New Norfolk,AU,55.4,-42.78,147.06,93,75,8.05
4,Vanimo,PG,77.68,-2.67,141.3,100,56,2.48
5,Ushuaia,AR,48.2,-54.81,-68.31,61,75,21.92
6,Hasaki,JP,39.85,35.73,140.83,93,0,4.7
7,Fairfield,US,64.58,38.25,-122.04,45,1,4.7
8,Rikitea,PF,77.41,-23.12,-134.97,98,20,13.78
9,Albany,US,39.97,42.65,-73.75,85,90,5.82
10,Thompson,CA,-0.41,55.74,-97.86,77,75,8.05
11,Tiksi,RU,-31.63,71.64,128.87,54,0,2.48
12,Beli Potok,RS,49.96,44.71,20.52,87,0,12.75
13,Busselton,AU,52.84,-33.64,115.35,100,32,12.44
14,Vaini,IN,70.12,15.34,74.49,59,12,4.38
15,Dwarka,IN,52.57,28.58,77.04,82,0,2.71
16,Mar del Plata,AR,72.91,-46.43,-67.52,28,0,2.48
17,Medicine Hat,CA,21.2,50.04,-110.68,85,20,4.7
18,Grand-Santi,GF,81.42,4.27,-54.38,75,80,3.94
19,Norman Wells,CA,-2.21,65.28,-126.83,77,75,2.24
20,Hilo,US,75.61,19.71,-155.08,69,40,4.7
21,Luderitz,NA,58.2,-26.65,15.16,88,0,11.1
22,Ribeira Grande,PT,64.4,38.52,-28.7,68,40,20.8
23,Bluff,AU,77.41,-23.58,149.07,20,0,9.64
24,Khatanga,RU,-26.63,71.98,102.47,41,0,5.61
25,Atuona,PF,77.32,-9.8,-139.03,100,100,10.42
26,Punta Arenas,CL,53.6,-53.16,-70.91,58,75,19.46
27,Abu Dhabi,AE,73.4,24.47,54.37,78,0,10.29
28,Cherskiy,RU,-30.01,68.75,161.3,50,20,2.93
29,Avera,US,54.36,33.19,-82.53,88,75,3.36
30,Puerto Ayora,EC,78.8,-0.74,-90.35,61,75,6.93
31,Abnub,EG,51.49,27.27,31.15,87,8,2.71
32,Yellowknife,CA,12.2,62.45,-114.38,85,90,16.11
